file_name,direct_instantiations,static_method_calls,static_variable_usage,interface_implementations,injection_initiations,cbo_label
File123.cs,1,3,1,1.0,0.5,0
File124.cs,1,0,5,0.5,0.5,1
File125.cs,1,0,5,0.5,0.5,1
File126.cs,3,4,1,1.5,1.5,1
File127.cs,4,1,2,1.5,1.0,1
File128.cs,5,4,2,0.5,2.0,1
File129.cs,5,3,4,0.5,0.5,1
File130.cs,4,5,0,1.5,1.0,1
File131.cs,4,2,0,1.5,1.5,1
File132.cs,3,2,5,0.5,1.5,1
File133.cs,3,0,3,0.5,1.0,0
File134.cs,2,2,2,1.0,1.0,0
File135.cs,4,5,3,1.5,0.5,1
File136.cs,3,0,4,1.5,1.0,1
File137.cs,5,1,3,0.5,1.5,1
File138.cs,4,2,5,1.0,0.5,1
File139.cs,0,2,4,0.5,1.5,1
File140.cs,4,0,2,0.5,1.5,1
File141.cs,2,5,4,1.0,2.0,1
File142.cs,4,2,0,1.5,0.5,1
File143.cs,4,0,2,1.0,2.0,1
File144.cs,4,2,2,0.5,0.5,1
File145.cs,5,2,1,0.5,2.0,1
File146.cs,1,3,0,1.0,1.0,0
File147.cs,0,3,2,1.5,1.5,0
File148.cs,0,1,2,1.5,1.0,0
File149.cs,0,1,3,1.0,0.5,0
File150.cs,3,3,4,0.5,1.5,1
File151.cs,5,5,0,1.5,1.5,1
File152.cs,2,0,2,1.0,2.0,0
File153.cs,2,1,3,1.0,1.5,0
File154.cs,1,4,0,0.5,0.5,1
File155.cs,4,1,5,1.0,1.5,1
File156.cs,1,3,1,0.5,2.0,0
File157.cs,3,5,5,1.5,0.5,1
File158.cs,4,5,0,1.0,0.5,1
File159.cs,2,0,3,1.0,2.0,0
File160.cs,5,5,4,1.5,1.5,1
File161.cs,1,0,2,0.5,1.5,0
File162.cs,1,3,2,1.0,1.0,0
File163.cs,3,4,3,1.0,0.5,1
File164.cs,1,5,3,1.5,2.0,1
File165.cs,5,4,3,1.5,1.5,1
File166.cs,2,1,0,1.5,0.5,0
File167.cs,0,5,5,0.5,0.5,1
File168.cs,4,5,0,1.5,1.0,1
File169.cs,1,0,2,1.5,2.0,0
File170.cs,5,5,3,0.5,0.5,1
File171.cs,0,0,3,1.0,0.5,0
File172.cs,2,1,5,0.5,1.5,1
File173.cs,4,5,4,0.5,1.0,1
File174.cs,4,0,0,0.5,1.5,1
File175.cs,4,4,0,0.5,0.5,1
File176.cs,0,1,3,0.5,0.5,0
File177.cs,0,1,2,1.0,2.0,0
File178.cs,1,2,5,1.5,2.0,1
File179.cs,3,2,1,1.0,0.5,0
File180.cs,2,5,0,0.5,0.5,1
File181.cs,1,2,1,1.0,1.5,0
File182.cs,5,4,3,1.0,1.5,1
File183.cs,5,2,3,1.0,2.0,1
File184.cs,4,5,4,0.5,0.5,1
File185.cs,0,1,4,1.5,1.0,1
File186.cs,3,3,5,1.5,2.0,1
File187.cs,1,2,1,0.5,1.0,0
File188.cs,4,4,1,0.5,1.5,1
File189.cs,4,0,4,0.5,0.5,1
File190.cs,0,1,3,1.5,2.0,0
File191.cs,0,1,5,1.0,1.5,1
File192.cs,5,0,3,1.5,1.5,1
File193.cs,1,1,4,0.5,0.5,1
File194.cs,5,3,1,0.5,1.0,1
File195.cs,5,5,4,1.5,1.5,1
File196.cs,3,2,2,0.5,1.5,0
File197.cs,3,0,3,1.5,1.5,0
File198.cs,1,2,3,1.0,1.5,0
File199.cs,3,4,0,1.0,0.5,1
