file_name,class_dependencies,direct_instantiations,static_method_calls,static_variable_usage,interface_implementations,constructor_injections,setter_injections,global_variable_references,cbo_label
Example45.java,4,1,4,1,0,0,2,0,0
Example46.java,1,1,1,0,2,0,2,1,1
Example47.java,1,1,3,0,2,1,1,1,1
Example48.java,7,3,2,0,1,1,2,2,0
Example49.java,5,2,4,1,1,1,2,1,1
Example50.java,5,3,4,1,0,1,2,1,0
Example51.java,1,3,1,3,1,0,2,1,0
Example52.java,9,2,4,3,0,2,2,2,1
Example53.java,7,1,1,0,1,1,0,1,0
Example54.java,8,2,1,0,2,2,1,1,0
Example55.java,5,3,4,1,1,0,0,2,0
Example56.java,9,2,1,3,1,0,1,1,0
Example57.java,3,3,4,3,2,0,1,2,1
Example58.java,5,1,2,3,2,1,1,0,1
Example59.java,5,1,2,0,1,2,2,0,1
Example60.java,2,2,2,1,1,2,1,1,1
Example61.java,7,0,4,2,0,1,1,0,1
Example62.java,3,0,3,2,2,1,0,2,1
Example63.java,8,0,0,0,1,2,0,2,1
Example64.java,9,3,2,2,1,2,1,2,0
Example65.java,7,2,3,2,0,2,2,0,1
Example66.java,8,4,2,2,1,2,0,0,1
Example67.java,6,3,2,1,1,1,2,2,1
Example68.java,4,1,2,3,1,2,0,0,0
Example69.java,7,2,2,2,1,2,2,0,1
Example70.java,4,2,3,0,2,2,1,2,1
Example71.java,1,0,3,1,1,1,0,2,1
Example72.java,2,3,4,0,2,1,0,2,0
Example73.java,5,0,3,2,1,0,0,0,1
Example74.java,8,3,3,0,0,2,0,1,1
Example75.java,9,0,2,3,1,0,0,2,0
Example76.java,5,4,3,0,0,1,0,2,0
Example77.java,3,2,2,0,1,1,1,1,0
Example78.java,9,4,2,2,0,2,2,1,1
Example79.java,7,1,2,0,0,2,2,1,1
Example80.java,4,4,0,3,0,0,1,0,0
Example81.java,2,3,1,3,2,0,2,0,0
Example82.java,9,2,3,2,0,1,2,2,1
Example83.java,6,0,2,1,1,2,0,1,1
Example84.java,6,4,4,3,0,1,0,1,0
Example85.java,8,2,3,1,2,2,0,1,1
Example86.java,8,1,3,0,2,1,0,2,0
Example87.java,9,1,1,0,0,1,2,2,1
Example88.java,1,2,4,0,1,1,2,0,1
Example89.java,9,1,4,0,1,2,0,2,1
Example90.java,4,4,0,1,2,1,0,1,1
Example91.java,8,1,4,0,0,2,1,1,1
Example92.java,5,1,3,1,1,2,2,0,0
Example93.java,9,4,2,2,1,0,1,0,0
Example94.java,8,2,1,2,2,2,0,1,0
Example95.java,1,0,3,0,0,2,1,0,0
Example96.java,1,1,0,0,1,2,0,0,0
Example97.java,1,2,3,0,2,1,0,2,0
Example98.java,2,0,2,0,1,1,2,0,0
Example99.java,4,3,2,0,1,0,0,2,1
Example100.java,4,4,0,2,2,1,2,1,0
Example101.java,8,4,3,1,0,2,0,2,1
Example102.java,8,0,4,1,2,2,0,1,0
Example103.java,2,4,0,2,0,1,1,0,0
Example104.java,6,4,3,0,2,1,1,2,1
Example105.java,1,0,2,2,2,1,0,2,0
Example106.java,3,2,3,0,2,0,0,0,1
Example107.java,5,0,2,2,1,0,1,0,0
Example108.java,7,2,2,0,0,2,0,1,0
Example109.java,3,3,4,2,2,1,2,0,1
Example110.java,1,4,3,0,1,2,1,2,1
Example111.java,8,0,0,3,1,1,0,0,0
Example112.java,7,3,1,0,1,0,1,2,1
Example113.java,7,4,1,1,0,2,2,2,1
Example114.java,4,0,1,2,1,0,1,1,1
Example115.java,2,3,0,2,2,1,1,2,1
Example116.java,4,3,2,0,0,2,2,1,0
Example117.java,5,1,4,3,0,1,0,2,0
Example118.java,5,0,3,0,2,2,2,2,1
Example119.java,6,3,0,2,2,0,2,0,0
Example120.java,7,4,1,2,0,1,1,0,1
Example121.java,1,3,1,2,2,1,2,2,0
Example122.java,3,2,0,1,1,2,2,2,1
Example123.java,9,4,4,3,0,0,1,0,1
Example124.java,6,2,3,0,1,1,0,2,0
Example125.java,4,1,2,3,0,1,1,2,1
Example126.java,9,1,0,1,1,2,1,2,0
Example127.java,5,4,1,2,1,1,2,2,1
Example128.java,7,3,0,2,0,2,1,0,1
Example129.java,7,1,3,2,1,0,1,2,0
Example130.java,9,3,1,1,1,1,1,1,1
Example131.java,6,4,1,1,2,0,0,2,1
Example132.java,2,3,4,1,0,2,1,1,0
Example133.java,7,4,4,3,1,0,2,1,1
Example134.java,6,3,3,1,1,0,1,1,0
Example135.java,1,1,3,1,1,1,2,1,0
Example136.java,8,0,2,2,1,2,0,0,0
Example137.java,6,3,1,0,2,1,1,1,0
Example138.java,2,1,2,2,0,0,2,2,0
Example139.java,4,0,3,2,2,1,1,2,1
Example140.java,8,4,0,3,0,2,0,0,0
Example141.java,9,0,1,3,2,2,0,0,1
Example142.java,6,3,2,0,0,0,1,0,0
Example143.java,1,3,0,2,2,1,1,2,0
Example144.java,1,0,0,2,2,0,0,2,1
Example145.java,1,4,3,1,0,0,2,0,1
Example146.java,9,0,0,1,2,0,0,2,1
Example147.java,7,3,3,0,1,1,1,2,1
Example148.java,7,3,1,2,1,1,1,2,1
Example149.java,1,2,2,3,1,2,1,2,0
Example150.java,6,0,4,3,1,1,1,0,1
Example151.java,9,2,2,2,0,0,2,0,1
Example152.java,9,2,0,3,0,0,1,1,1
Example153.java,9,3,4,1,0,0,1,2,0
Example154.java,7,1,2,1,2,2,2,0,0
Example155.java,3,2,4,0,0,0,1,2,1
Example156.java,7,1,4,1,0,2,1,2,1
Example157.java,3,4,3,2,1,0,2,2,0
Example158.java,1,2,3,3,0,2,2,0,0
Example159.java,1,1,0,0,0,2,1,1,1
Example160.java,7,0,3,3,2,1,2,1,1
Example161.java,2,2,4,2,2,1,2,1,0
Example162.java,3,4,2,0,0,1,0,2,1
Example163.java,6,2,4,3,2,1,2,2,1
Example164.java,5,1,4,3,1,2,2,1,1
Example165.java,1,1,3,3,1,0,1,0,0
Example166.java,2,2,3,3,0,1,1,1,1
Example167.java,5,4,1,0,1,1,2,2,1
Example168.java,5,4,3,1,2,2,1,1,1
Example169.java,1,4,4,1,2,0,0,1,1
Example170.java,9,4,2,2,2,0,0,2,1
Example171.java,4,1,2,1,0,2,0,1,1
Example172.java,4,0,3,1,0,1,1,0,0
Example173.java,8,1,0,0,0,0,2,0,0
Example174.java,7,4,4,2,0,1,1,2,0
Example175.java,5,0,2,0,0,2,1,0,0
Example176.java,4,0,4,3,0,1,0,1,1
Example177.java,5,3,0,3,1,0,0,0,1
Example178.java,7,2,1,1,2,0,2,0,0
Example179.java,9,2,0,1,0,2,1,1,0
Example180.java,9,2,0,2,1,0,1,1,1
Example181.java,8,1,2,0,0,1,1,1,0
Example182.java,1,4,4,1,0,1,2,2,0
Example183.java,1,4,0,0,1,0,1,2,1
Example184.java,3,0,2,2,0,1,0,0,1
Example185.java,6,3,0,0,1,1,1,0,1
Example186.java,5,0,3,2,0,1,2,2,1
Example187.java,8,0,1,0,0,1,0,1,0
Example188.java,1,2,0,3,2,1,0,0,1
Example189.java,7,2,0,2,0,2,2,2,0
Example190.java,3,3,4,3,0,0,2,1,0
Example191.java,2,3,4,0,1,1,1,1,1
Example192.java,9,3,1,1,0,1,2,1,0
Example193.java,5,2,0,1,1,2,1,1,0
Example194.java,8,2,2,1,0,2,2,2,0
Example195.java,9,2,4,1,2,0,0,1,1
Example196.java,4,0,2,0,1,0,2,2,0
Example197.java,5,1,2,3,2,0,1,0,0
Example198.java,4,1,3,0,0,1,2,1,1
Example199.java,7,4,1,1,2,2,0,1,1
Example200.java,5,3,4,0,2,2,2,0,0
Example201.java,4,1,2,0,1,2,0,2,1
Example202.java,8,4,4,3,0,1,2,0,1
Example203.java,5,1,2,3,2,0,1,2,1
Example204.java,4,2,1,1,2,0,1,1,1
Example205.java,4,3,0,3,1,0,0,0,1
Example206.java,1,2,1,3,0,0,1,1,1
Example207.java,5,4,3,3,2,0,2,1,0
Example208.java,2,0,4,0,0,1,0,1,0
Example209.java,1,3,2,1,2,2,0,0,1
Example210.java,6,3,2,2,2,2,1,1,0
Example211.java,8,2,4,3,2,1,0,2,1
Example212.java,2,1,2,2,0,2,2,2,1
Example213.java,9,4,3,3,2,2,1,2,1
Example214.java,3,2,2,2,0,2,0,0,0
Example215.java,4,2,3,0,1,0,1,1,1
Example216.java,6,2,4,1,0,2,2,0,1
Example217.java,6,1,3,3,2,0,0,1,0
Example218.java,4,2,2,2,1,2,1,0,0
Example219.java,5,0,0,3,2,2,2,2,1
Example220.java,4,3,0,0,2,0,1,0,1
Example221.java,5,2,4,3,1,1,0,0,0
Example222.java,2,0,4,0,0,1,2,0,0
Example223.java,5,2,0,3,0,1,1,2,0
Example224.java,3,4,0,1,1,0,1,2,0
Example225.java,5,0,1,3,1,1,0,1,0
Example226.java,6,0,4,0,0,1,1,1,0
Example227.java,8,0,2,1,0,2,1,2,1
Example228.java,5,2,3,0,1,0,2,1,1
Example229.java,7,3,4,1,2,1,0,2,0
Example230.java,3,1,4,3,1,1,0,1,0
Example231.java,8,0,0,3,2,0,2,2,1
Example232.java,4,0,3,1,0,1,0,0,0
Example233.java,4,1,3,0,0,1,1,2,0
Example234.java,3,0,2,0,0,0,0,2,1
Example235.java,4,0,4,0,2,0,1,2,1
Example236.java,7,4,0,0,1,1,0,2,0
Example237.java,7,4,3,2,1,0,2,2,0
Example238.java,5,1,3,2,0,2,2,1,1
Example239.java,7,0,3,1,0,2,0,1,0
Example240.java,9,2,3,0,0,2,2,0,0
Example241.java,7,4,4,0,0,1,0,2,1
Example242.java,4,3,1,1,2,1,0,0,1
Example243.java,4,4,3,1,1,0,2,1,1
Example244.java,2,4,4,2,0,0,2,1,1
Example245.java,4,4,0,2,2,1,0,2,1
Example246.java,3,1,3,1,1,1,2,0,1
Example247.java,2,1,0,1,0,2,2,2,0
Example248.java,3,1,2,1,2,2,1,0,0
Example249.java,7,3,0,1,1,1,1,1,1
Example250.java,9,0,0,0,2,0,1,0,1
Example251.java,7,0,4,0,1,0,0,1,0
Example252.java,3,2,3,2,0,2,0,2,1
Example253.java,3,3,0,3,0,0,1,0,1
Example254.java,1,3,2,0,1,2,0,1,1
Example255.java,2,0,3,3,1,0,2,1,0
Example256.java,1,1,3,1,0,2,2,2,1
Example257.java,8,3,2,1,1,0,0,1,0
Example258.java,5,3,4,0,0,1,2,0,1
Example259.java,1,4,4,3,1,2,2,1,1
Example260.java,6,0,0,1,2,0,2,1,1
Example261.java,9,1,0,0,2,2,0,0,0
Example262.java,4,4,0,2,0,2,2,2,0
Example263.java,1,2,0,3,2,2,0,2,0
Example264.java,4,1,1,3,0,2,2,1,1
Example265.java,4,4,4,0,1,1,2,2,0
Example266.java,6,0,3,1,2,2,2,0,1
Example267.java,9,2,0,0,0,1,1,0,1
Example268.java,9,3,4,3,1,1,1,2,0
Example269.java,4,1,0,0,0,2,1,2,1
Example270.java,3,0,0,3,1,2,1,1,0
Example271.java,2,4,2,0,0,2,2,0,1
Example272.java,3,2,3,2,2,1,2,2,0
Example273.java,2,2,2,3,0,0,2,0,1
Example274.java,7,2,3,3,2,1,0,2,1
Example275.java,7,2,4,2,0,2,2,1,1
Example276.java,8,3,2,3,2,2,1,2,1
Example277.java,9,2,3,0,0,2,1,2,0
Example278.java,2,4,4,1,2,2,1,1,0
Example279.java,2,3,3,2,2,1,1,0,0
Example280.java,3,3,2,3,1,1,0,0,0
Example281.java,1,4,1,1,0,1,0,1,0
Example282.java,4,3,3,2,1,0,2,0,1
Example283.java,8,0,2,2,2,0,2,1,0
Example284.java,1,4,1,1,1,2,0,1,1
Example285.java,9,2,3,0,2,1,1,1,1
Example286.java,5,2,2,3,2,0,0,2,1
Example287.java,1,2,0,1,2,2,2,1,1
Example288.java,8,3,1,0,2,0,0,1,1
Example289.java,7,2,3,3,1,2,1,0,0
Example290.java,7,0,1,0,0,0,1,0,0
Example291.java,5,4,1,3,0,1,0,0,0
Example292.java,2,0,3,1,0,1,1,1,1
Example293.java,4,2,0,1,1,0,2,1,0
Example294.java,4,3,2,3,1,2,1,0,0
Example295.java,2,2,0,3,0,2,2,0,1
Example296.java,2,3,0,2,1,2,1,2,0
Example297.java,2,3,1,2,0,1,2,1,0
Example298.java,4,3,2,0,0,0,1,2,0
Example299.java,5,0,2,1,0,2,2,1,0
Example300.java,8,2,1,3,1,0,2,0,1
Example301.java,4,4,0,0,0,0,2,0,0
Example302.java,2,0,3,0,1,1,1,0,0
Example303.java,6,4,4,3,0,1,2,0,1
Example304.java,2,1,2,3,0,0,0,2,0
Example305.java,3,3,3,0,2,1,0,0,0
Example306.java,3,1,0,1,1,0,0,2,0
Example307.java,2,2,2,3,0,0,2,2,1
Example308.java,2,1,0,0,0,0,1,1,0
Example309.java,8,0,3,1,2,1,0,0,1
Example310.java,3,4,3,3,0,1,1,2,1
Example311.java,1,3,4,1,1,2,2,0,0
Example312.java,2,2,4,0,1,0,1,1,0
Example313.java,4,1,3,2,0,1,0,1,0
Example314.java,6,4,0,2,0,1,0,1,1
Example315.java,1,3,3,1,1,1,0,0,0
Example316.java,1,2,2,3,0,2,1,2,1
Example317.java,7,4,1,0,2,0,1,0,1
Example318.java,8,2,2,1,2,2,2,2,1
Example319.java,1,0,0,0,1,2,1,0,0
Example320.java,6,1,0,2,1,2,2,2,0
Example321.java,7,4,2,3,1,1,2,2,0
Example322.java,8,4,4,2,0,2,0,1,0
Example323.java,1,4,3,0,2,1,2,1,0
Example324.java,1,3,2,1,2,0,1,0,1
Example325.java,5,2,0,1,0,0,1,0,1
Example326.java,9,1,0,1,1,0,1,2,0
Example327.java,4,0,4,0,1,0,2,0,1
Example328.java,7,1,0,0,0,2,2,2,1
Example329.java,3,0,3,3,0,0,2,1,0
Example330.java,7,3,0,0,0,0,1,0,0
Example331.java,4,3,0,0,1,0,1,1,0
Example332.java,1,2,0,0,1,2,2,0,1
Example333.java,5,2,1,1,1,1,1,2,0
Example334.java,1,2,1,3,1,0,1,2,1
Example335.java,3,4,3,0,1,2,1,2,1
Example336.java,2,2,0,2,2,0,1,1,0
Example337.java,3,1,2,3,0,1,1,0,0
Example338.java,9,2,2,0,1,2,2,2,1
Example339.java,5,4,1,3,0,2,1,0,1
Example340.java,9,0,4,2,2,0,0,0,0
Example341.java,6,3,0,3,1,0,2,1,1
Example342.java,5,1,1,3,0,1,2,0,0
Example343.java,7,2,3,2,0,1,2,2,1
Example344.java,4,4,4,3,2,2,1,2,1
Example345.java,3,2,2,3,0,1,0,1,1
Example346.java,6,4,2,0,2,0,1,2,1
Example347.java,5,1,3,0,0,1,1,2,0
Example348.java,2,2,2,3,2,2,0,2,1
Example349.java,7,1,0,1,2,0,2,1,1
Example350.java,9,1,3,3,1,1,1,2,1
Example351.java,6,3,3,3,2,0,1,1,1
Example352.java,7,0,2,1,2,2,2,2,0
Example353.java,1,3,4,3,1,0,2,0,0
Example354.java,4,3,0,2,2,1,2,2,1
Example355.java,6,2,0,2,2,2,0,1,1
Example356.java,3,4,1,3,2,1,2,2,1
Example357.java,1,3,2,1,0,2,2,0,0
Example358.java,4,3,3,1,1,1,0,1,1
Example359.java,5,4,3,1,2,2,2,1,0
Example360.java,4,0,0,0,2,0,1,1,1
Example361.java,9,4,2,3,0,1,1,2,1
Example362.java,8,4,2,2,2,0,2,1,1
Example363.java,6,0,1,3,1,2,2,1,1
Example364.java,5,3,4,0,2,2,2,2,1
Example365.java,4,4,4,3,1,0,1,0,1
Example366.java,8,0,3,3,2,2,0,1,0
Example367.java,5,3,2,2,2,1,0,0,1
Example368.java,9,2,3,0,2,1,1,0,0
Example369.java,1,3,0,1,2,1,0,2,1
Example370.java,4,0,4,1,0,0,1,1,1
Example371.java,6,1,3,0,1,2,1,2,1
Example372.java,7,1,3,1,2,1,0,1,0
Example373.java,3,0,2,2,0,2,2,2,0
Example374.java,7,3,2,0,2,2,1,1,1
Example375.java,1,2,2,1,1,2,0,1,0
Example376.java,6,4,2,2,2,1,2,0,0
Example377.java,1,1,4,2,0,0,0,1,1
Example378.java,8,1,1,1,0,1,1,1,0
Example379.java,1,1,2,3,0,2,0,0,1
Example380.java,3,2,2,3,1,0,0,1,0
Example381.java,6,4,1,0,2,2,2,2,1
Example382.java,9,2,3,2,0,0,0,2,0
Example383.java,9,1,1,1,2,2,0,0,0
Example384.java,9,1,3,0,0,0,1,0,1
Example385.java,4,3,2,3,1,2,2,1,1
Example386.java,4,4,2,3,2,2,0,1,0
Example387.java,2,4,3,3,1,0,1,2,0
Example388.java,3,0,0,3,1,0,2,2,1
Example389.java,8,4,3,2,1,1,1,2,1
Example390.java,3,0,0,2,1,1,2,0,1
Example391.java,3,4,0,2,1,0,0,2,1
Example392.java,2,4,4,3,0,1,2,0,0
Example393.java,4,1,2,3,2,2,1,0,1
Example394.java,4,2,1,0,2,1,2,0,1
Example395.java,2,4,2,2,0,2,1,0,0
Example396.java,7,2,2,0,2,0,2,0,0
Example397.java,8,2,2,3,1,0,2,0,1
Example398.java,2,2,0,3,1,2,1,0,1
Example399.java,3,3,3,0,2,1,0,0,1
Example400.java,1,3,4,2,1,1,1,2,1
Example401.java,8,1,2,2,1,1,1,1,0
Example402.java,2,0,1,1,2,1,0,0,0
Example403.java,2,1,2,0,0,0,2,2,0
Example404.java,8,3,3,0,1,2,1,2,0
Example405.java,4,4,4,0,2,1,2,1,0
Example406.java,9,2,2,3,0,0,1,2,1
Example407.java,9,0,3,1,1,2,1,2,0
Example408.java,5,1,0,3,0,1,2,2,1
Example409.java,8,2,4,3,2,1,0,1,0
Example410.java,2,4,0,1,0,2,0,1,1
Example411.java,8,1,4,0,2,2,2,2,0
Example412.java,6,0,2,3,1,1,1,1,0
Example413.java,7,2,1,0,2,2,1,2,1
Example414.java,9,0,3,0,1,1,0,2,1
Example415.java,9,1,4,2,1,2,1,0,0
Example416.java,7,2,0,1,0,0,1,1,1
Example417.java,2,4,2,2,0,2,2,2,1
Example418.java,6,4,3,1,2,2,1,0,1
Example419.java,3,4,2,2,1,1,2,1,0
Example420.java,4,1,3,1,2,1,1,0,1
Example421.java,7,4,0,1,0,2,1,0,0
Example422.java,4,2,1,3,0,2,1,0,0
Example423.java,6,1,2,1,0,1,0,0,0
Example424.java,7,0,1,0,2,0,1,2,0
Example425.java,6,3,2,3,2,0,1,2,1
Example426.java,5,1,0,0,2,2,2,2,1
Example427.java,2,1,3,3,1,0,0,1,1
Example428.java,4,2,2,1,2,1,0,2,1
Example429.java,7,3,2,0,2,2,2,2,1
Example430.java,6,0,4,3,0,0,2,2,0
Example431.java,9,0,0,2,2,0,0,2,1
Example432.java,2,0,2,3,2,0,0,1,0
Example433.java,4,0,0,2,1,0,1,2,0
Example434.java,8,1,1,2,1,0,0,0,0
Example435.java,7,0,4,0,0,2,1,2,1
Example436.java,2,3,0,0,1,2,0,1,1
Example437.java,7,4,2,0,1,0,1,1,0
Example438.java,2,1,3,3,0,1,1,2,0
Example439.java,7,1,1,0,1,0,1,1,0
Example440.java,3,3,3,3,2,0,2,0,0
Example441.java,7,1,4,1,1,0,2,0,0
Example442.java,5,2,4,2,0,2,0,1,0
Example443.java,4,1,1,0,1,1,1,1,0
Example444.java,9,3,4,2,0,2,1,0,1
Example445.java,4,2,1,1,0,0,2,2,0
Example446.java,9,3,2,2,1,2,2,2,0
Example447.java,5,2,0,1,2,2,1,2,1
Example448.java,9,2,1,2,1,0,0,2,1
Example449.java,1,0,1,2,2,0,2,2,1
Example450.java,8,4,1,3,0,1,1,1,0
Example451.java,6,1,4,1,1,1,2,1,1
Example452.java,9,2,1,2,1,0,1,2,0
Example453.java,8,1,0,3,0,0,2,2,0
Example454.java,3,3,0,2,2,1,2,0,0
Example455.java,1,1,3,1,0,2,0,2,0
Example456.java,7,3,1,0,0,0,1,2,0
Example457.java,2,4,3,2,0,0,0,0,0
Example458.java,4,2,2,2,1,1,1,2,1
Example459.java,9,2,2,2,0,0,2,0,1
Example460.java,7,3,0,1,1,1,2,2,0
Example461.java,6,4,1,1,0,1,0,1,0
Example462.java,8,2,4,2,1,0,1,2,1
Example463.java,3,0,4,1,0,2,1,0,1
Example464.java,7,1,1,1,1,1,1,0,1
Example465.java,8,2,4,2,0,0,1,0,0
Example466.java,9,2,3,3,0,2,1,1,1
Example467.java,7,4,0,0,2,0,2,2,1
Example468.java,9,0,2,3,0,2,0,0,0
Example469.java,1,3,1,0,0,1,1,1,1
Example470.java,8,2,3,1,0,2,0,1,1
Example471.java,1,0,4,0,2,0,0,0,1
Example472.java,1,2,1,0,1,2,0,0,1
Example473.java,3,1,1,2,1,2,0,0,1
Example474.java,8,2,4,1,0,2,0,1,0
Example475.java,2,2,3,2,2,0,1,2,0
Example476.java,6,0,0,0,2,2,1,2,0
Example477.java,1,3,3,3,1,0,2,2,1
Example478.java,9,2,3,3,2,2,2,1,0
Example479.java,3,3,3,0,0,0,1,1,1
Example480.java,8,2,3,0,0,0,1,2,0
Example481.java,2,2,4,2,1,2,1,2,0
Example482.java,8,2,0,1,2,2,1,1,0
Example483.java,3,3,0,3,0,2,2,0,0
Example484.java,8,4,3,3,2,2,0,1,0
Example485.java,8,4,4,3,0,2,0,2,1
Example486.java,6,3,1,0,0,0,0,2,0
Example487.java,2,0,1,1,0,1,2,2,0
Example488.java,8,0,2,3,0,2,0,2,0
Example489.java,4,2,1,0,0,0,0,0,0
Example490.java,4,1,3,1,0,1,0,0,1
Example491.java,1,1,4,3,2,1,2,2,1
Example492.java,8,2,2,2,2,0,1,2,0
Example493.java,6,3,1,1,2,2,2,1,0
Example494.java,5,4,1,2,0,0,1,2,0
Example495.java,9,4,4,0,0,1,2,1,1
Example496.java,6,2,3,3,2,1,2,0,1
Example497.java,8,4,0,0,2,2,2,0,1
Example498.java,4,3,1,2,1,2,2,0,1
Example499.java,3,2,4,0,2,1,0,1,0
Example500.java,7,0,2,0,0,1,2,1,1
Example501.java,5,4,4,3,2,1,0,0,1
Example502.java,4,1,4,1,2,2,1,0,0
Example503.java,7,0,3,1,2,0,2,1,1
Example504.java,7,1,0,2,2,0,0,1,0
Example505.java,6,2,2,2,0,1,0,0,0
Example506.java,5,1,2,0,1,1,2,0,0
Example507.java,5,3,4,3,2,0,1,0,1
Example508.java,3,0,1,3,1,0,0,2,1
Example509.java,9,2,4,1,1,1,1,1,0
Example510.java,9,4,1,3,2,1,1,2,0
Example511.java,2,4,2,3,1,2,0,0,1
Example512.java,2,3,2,3,1,1,0,2,1
Example513.java,8,2,0,3,2,2,1,0,0
Example514.java,4,1,4,0,0,1,1,0,1
Example515.java,9,2,1,2,0,2,2,0,0
Example516.java,8,0,3,0,1,0,1,1,1
Example517.java,6,2,4,0,1,0,1,2,0
Example518.java,1,3,1,0,1,1,0,1,1
Example519.java,2,1,0,0,1,2,1,1,1
Example520.java,6,0,2,3,0,0,1,1,0
Example521.java,2,2,4,2,1,2,1,1,1
Example522.java,4,4,2,0,2,1,2,2,1
Example523.java,9,2,4,1,1,2,0,1,1
Example524.java,4,0,0,0,1,2,1,1,1
Example525.java,2,4,3,1,2,2,0,1,1
Example526.java,3,2,0,3,0,1,2,0,1
Example527.java,9,3,4,0,2,0,0,1,0
Example528.java,6,2,3,3,0,0,1,1,1
Example529.java,3,3,1,1,0,0,0,1,0
Example530.java,5,2,0,2,2,0,0,2,0
Example531.java,6,0,2,2,1,2,0,1,0
Example532.java,9,3,1,1,0,1,1,1,1
Example533.java,7,3,4,1,1,2,0,1,0
Example534.java,5,3,2,1,2,2,0,1,0
Example535.java,6,1,2,1,1,0,1,2,0
Example536.java,7,0,2,2,0,1,2,2,0
Example537.java,7,0,1,3,0,2,0,2,0
Example538.java,1,0,2,0,0,1,1,2,0
Example539.java,4,0,3,2,0,0,2,0,1
Example540.java,3,2,0,3,1,0,1,2,0
Example541.java,9,2,1,3,1,0,0,1,0
Example542.java,5,2,3,2,1,2,2,1,0
Example543.java,3,1,3,1,2,0,0,2,0
Example544.java,5,4,4,1,2,0,1,2,0
Example545.java,2,0,2,1,0,0,1,0,1
Example546.java,5,4,0,0,1,2,0,0,1
Example547.java,2,0,3,3,0,0,1,1,1
Example548.java,5,0,4,1,1,0,2,0,0
Example549.java,3,3,2,1,2,2,0,1,1
Example550.java,8,0,3,3,2,1,1,1,0
Example551.java,7,0,0,3,2,0,2,0,1
Example552.java,2,4,1,0,2,0,2,1,1
Example553.java,6,3,3,2,2,0,1,1,0
Example554.java,5,0,3,3,0,0,1,0,1
Example555.java,3,1,1,0,1,0,0,2,0
Example556.java,1,0,1,1,0,1,1,1,1
Example557.java,4,0,3,2,0,1,2,2,0
Example558.java,5,0,2,1,2,2,2,2,0
Example559.java,4,3,1,1,1,1,1,2,1
Example560.java,3,4,1,1,2,0,0,1,1
Example561.java,6,0,4,0,1,1,0,1,1
Example562.java,8,4,3,2,1,1,2,0,1
Example563.java,2,3,3,0,0,2,1,2,1
Example564.java,5,4,1,3,2,0,1,2,1
Example565.java,8,2,3,2,2,2,1,0,0
Example566.java,9,0,4,2,1,1,1,1,0
Example567.java,6,0,4,3,1,1,2,1,0
Example568.java,9,1,1,2,2,0,2,2,1
Example569.java,8,3,0,3,2,0,2,1,0
Example570.java,9,0,0,0,1,1,2,1,1
Example571.java,5,0,2,1,2,1,2,2,0
Example572.java,1,3,2,3,2,0,1,1,0
Example573.java,9,0,0,1,0,2,1,0,1
Example574.java,6,3,3,2,2,0,0,1,1
Example575.java,5,0,4,0,1,0,1,2,1
Example576.java,9,4,1,3,2,1,0,0,0
Example577.java,7,1,2,1,1,2,0,1,1
